RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary
72,51018999,Hahn,735,France,Female,80,2,0.0,1,0,1,184737.87
73,53584385,Walter,689,Germany,Female,56,10,159275.39,1,1,1,67965.4
74,14793480,Edwards,441,Germany,Male,37,7,206930.72,1,1,1,100578.82
75,56737654,Rios,716,Spain,Female,22,9,28792.4,1,0,1,92623.61
76,64069292,Foster,793,Germany,Female,18,7,118015.4,1,0,0,31522.27
77,67330321,Rocha,804,Germany,Male,47,7,83414.76,2,1,0,118062.4
78,26710511,Ellis,777,Spain,Male,66,8,127148.21,3,1,1,148600.38
79,85215818,Baker,613,Germany,Male,20,3,111635.68,2,1,0,183374.97
80,48274136,Wright,780,Germany,Male,62,4,140217.6,1,0,1,170160.52
81,52433532,Hoffman,384,France,Female,31,4,159644.61,2,0,0,102003.88
82,26210873,Baker,555,France,Female,73,7,133477.5,2,0,0,143803.43
83,22369123,Richards,430,Germany,Female,47,6,0.0,2,0,1,160156.68
84,81378729,Hurst,769,Spain,Female,67,8,106553.69,2,1,1,98697.74
85,93002658,Ross,399,France,Male,21,7,139405.86,3,0,1,23085.51
86,48391205,Robinson,709,France,Male,35,1,205266.12,1,1,1,87586.15
87,73319080,Bright,737,Germany,Female,79,9,0.0,2,1,0,168495.61
88,68776881,Hicks,351,France,Female,54,3,0.0,1,0,1,119328.28
89,94876135,Davis,739,Germany,Female,42,5,219763.28,4,1,0,144891.68
90,52488295,Williams,403,Germany,Male,65,1,185442.48,1,1,1,37053.6
91,41849577,Rodriguez,455,France,Male,18,6,0.0,1,1,0,192867.55
92,92793872,Burton,609,Spain,Male,70,2,113490.52,1,1,1,80816.11
93,54753900,Conner,659,Germany,Female,63,2,186074.28,2,1,0,130727.1
94,89585756,Henderson,826,Germany,Female,32,10,101891.96,1,1,0,3774.45
95,15979212,Brown,540,France,Female,26,1,109458.02,1,1,0,25463.85
96,64220087,James,751,France,Male,32,10,0.0,4,1,1,156406.85
97,74416552,Ferrell,567,Spain,Female,66,7,69716.57,3,1,1,193593.89
98,86236457,Rice,393,France,Male,74,5,121269.3,1,1,1,64011.07
99,65002308,Maddox,511,France,Female,41,0,85234.57,1,1,1,7436.15
100,97427530,Valencia,551,France,Female,21,0,98644.99,2,1,0,72173.32
101,49944008,Smith,795,France,Male,29,6,0.0,3,1,0,3493.63
102,66250597,Le,833,France,Male,76,7,164492.75,2,0,0,38474.62
103,76251947,Maldonado,619,France,Female,75,4,145778.09,2,1,1,150494.4
104,22642233,Herrera,700,Spain,Male,54,10,0.0,1,1,0,187417.68
105,59517927,Adams,653,Germany,Male,78,4,0.0,2,1,0,17489.82
106,47358610,Davidson,620,France,Male,54,3,0.0,2,1,1,111580.16
107,70266849,Rodriguez,805,Spain,Male,60,5,0.0,2,1,1,50776.17
108,53312991,Graham,811,France,Male,77,5,0.0,1,1,0,27811.83
109,53799600,Chavez,564,Germany,Female,23,2,0.0,3,0,1,43796.05
110,97243107,Mckay,601,France,Female,56,8,0.0,2,1,1,115552.61
111,17314257,Liu,539,France,Female,73,10,0.0,1,1,1,13026.9
112,56040013,Baker,645,Spain,Female,80,6,57910.91,2,1,1,86843.72
113,51066561,Mason,562,France,Male,63,0,13804.44,2,1,0,27045.57
114,56536652,White,557,Spain,Female,41,6,74270.19,2,1,0,54535.41
115,54969780,Gaines,586,France,Male,28,4,61637.35,2,0,0,38150.87
116,92641203,Harrell,687,France,Female,79,4,163204.02,2,0,0,176595.1
117,47154128,Evans,716,Germany,Female,30,1,181776.62,3,1,0,141602.27
118,97363230,Fowler,402,Germany,Male,51,3,238680.25,1,0,1,173692.52
119,38025614,Lynch,629,France,Female,42,5,117029.33,1,1,0,76692.57
120,35260152,Hernandez,759,France,Female,24,9,0.0,1,1,0,62682.67
121,95852925,Farmer,566,France,Female,69,10,217670.69,2,1,1,76117.44
122,28476435,Ryan,601,Spain,Female,21,6,171546.72,2,0,1,3709.64
123,61618564,Osborne,537,France,Female,76,10,241477.17,3,1,1,144940.86
124,52004241,Moreno,729,France,Female,25,4,68041.17,2,1,0,69954.49
125,79122143,Smith,842,Spain,Female,37,8,58689.56,2,1,1,62664.76
126,57590513,Nguyen,390,France,Male,46,2,38565.11,4,1,1,119628.21
127,41831002,Smith,506,France,Female,80,0,110173.99,1,0,1,87249.98
128,52678233,Hickman,364,France,Female,71,3,212960.16,2,1,0,196168.67
129,37664228,Koch,650,Germany,Female,70,8,0.0,1,1,1,71250.61
130,63330459,Decker,414,France,Female,68,3,217948.26,2,1,1,122779.17
131,13919059,Parker,694,France,Female,62,1,161708.83,2,1,0,62330.22
132,34810051,Brown,676,Spain,Female,63,9,53103.95,2,1,1,198119.0
133,99523839,Humphrey,358,France,Male,27,4,104986.64,1,0,0,89022.21
134,44418428,Arroyo,693,France,Female,60,2,61039.43,1,0,0,126825.76
135,90694639,Miller,478,France,Female,51,8,28978.25,2,1,1,25344.33
136,19583333,Tucker,841,Germany,Male,74,3,239416.76,2,1,0,146604.84
137,21198969,Jones,485,Spain,Male,43,5,0.0,1,0,1,53842.01
138,23913263,Hodges,821,France,Female,58,1,0.0,3,1,1,89722.65
139,43213868,Cannon,412,France,Female,66,5,0.0,1,1,1,176626.61
140,48568668,Anderson,488,France,Female,75,2,0.0,2,1,1,194110.5
141,35578937,Alvarez,848,France,Male,20,8,230098.43,2,1,0,84914.42
142,29829249,Pierce,430,Germany,Male,73,10,27346.47,2,1,1,166960.53
143,85443070,Baker,741,France,Female,23,1,0.0,4,1,1,10669.8
144,67325744,Brennan,512,France,Female,22,8,234260.85,2,1,1,169514.81
145,97657735,Henderson,768,Germany,Male,22,4,88659.33,2,1,0,125902.06
146,69620537,Lewis,638,France,Male,71,7,0.0,1,1,0,97741.23
147,30034062,Ryan,728,Germany,Male,64,1,114561.3,1,0,1,177992.74
148,15049025,Blair,610,France,Male,40,5,193156.01,1,0,0,169067.44
149,12653381,Harris,839,Spain,Female,66,2,0.0,2,1,0,59389.02
150,50600924,Collins,580,France,Male,26,9,77041.48,1,1,1,158297.68
151,22728218,Carney,390,Spain,Male,52,4,106407.25,1,1,1,19898.19
152,70368292,Santos,377,France,Female,37,7,0.0,1,1,1,164552.79
153,29179537,Kim,484,Spain,Male,75,9,201194.77,1,1,1,135091.12
154,18929343,Holmes,550,France,Female,66,0,87838.93,1,1,1,17573.27
155,72082921,Martinez,677,Germany,Male,78,4,0.0,3,1,0,136616.03
156,82892745,Walker,617,France,Female,76,2,0.0,2,1,1,116103.86
157,46358059,Morgan,767,Germany,Male,59,3,84731.67,2,0,1,118910.02
158,82305680,Chapman,382,Germany,Female,52,1,237644.88,2,1,1,58172.79
159,68438963,Hall,397,Germany,Female,67,8,101028.01,1,1,1,53299.44
160,17213499,Robinson,756,Germany,Male,35,2,210767.41,3,1,1,152507.02
161,67035177,Jones,411,France,Female,79,1,128555.0,1,1,0,51362.7
162,18230362,Welch,565,France,Female,34,9,0.0,1,1,1,89252.45
163,85371764,Perez,642,Germany,Male,41,10,0.0,2,1,0,138957.8
164,74160193,Whitehead,448,France,Female,20,8,34109.81,1,1,1,15923.25
165,15695265,Heath,521,France,Female,49,6,136662.9,2,0,1,118909.68
166,86698198,Jones,709,France,Male,52,5,0.0,1,1,1,117875.27
167,63216101,Young,563,France,Male,55,0,171461.44,2,0,0,136845.74
168,70093600,Caldwell,824,Germany,Female,30,4,174925.6,1,1,1,73985.62
169,12268299,Lewis,384,Germany,Female,73,10,119873.18,1,0,1,89795.95
170,32548043,Anderson,798,Spain,Female,78,10,26732.66,2,1,1,65993.86
171,97461394,Walls,576,France,Female,64,2,21333.97,1,0,1,161633.65
172,94779400,Duncan,450,Spain,Female,42,0,170064.64,1,0,1,26122.15
173,85031369,Kennedy,780,Germany,Male,26,3,73040.74,1,1,1,192590.79
174,97673232,Mueller,811,Spain,Female,21,1,17788.26,2,1,1,126967.23
175,62901937,Aguirre,480,Spain,Male,31,1,127250.19,2,0,0,177381.34
176,72715174,Lee,606,Germany,Male,54,2,54863.54,1,1,1,85246.29
177,60322856,Davis,354,France,Male,51,7,0.0,4,1,1,66455.81
178,41148937,Jordan,567,France,Male,28,7,159094.37,3,1,1,180145.16
179,29010571,Henderson,604,France,Female,58,6,0.0,2,0,0,19774.61
180,92969934,Owens,747,Spain,Female,73,5,140702.91,2,1,0,23421.45
181,21101198,Daniel,708,Spain,Female,20,8,0.0,1,0,1,59869.36
182,78608027,Nunez,632,Germany,Male,76,3,138752.89,2,1,0,191955.0
183,17225206,Joyce,742,Spain,Male,45,0,0.0,1,0,1,126613.72
184,81082233,Garcia,556,Spain,Female,46,7,0.0,1,1,1,110838.74
185,22888043,Powell,364,Germany,Male,26,6,0.0,4,0,0,141071.27
186,14826616,Morgan,695,Germany,Female,20,6,245450.77,2,1,1,83494.91
187,38201057,Hensley,391,France,Male,42,2,0.0,1,1,0,151614.7
188,86064080,Wright,729,France,Male,51,3,0.0,1,0,0,78646.14
189,43551398,Lee,810,France,Male,29,9,195897.3,2,0,0,165272.64
190,98353829,West,528,France,Male,59,8,126838.77,1,1,1,53459.02
191,56360754,Henderson,412,Germany,Male,26,5,206942.03,1,1,1,55509.33
192,70031867,Ramirez,701,France,Male,32,4,0.0,1,1,1,104476.66
193,62741401,Wright,580,Spain,Male,57,2,153431.79,1,1,1,86152.23
194,37710627,Leblanc,590,France,Female,42,8,186406.28,2,1,1,129623.17
195,35448900,Ramos,401,France,Female,22,4,50929.13,1,1,1,72858.15
196,62695136,Callahan,445,Spain,Male,28,4,198225.11,2,0,1,46110.13
197,77911424,Pierce,737,Germany,Male,76,3,114821.88,1,1,0,93961.71
198,87617460,Williams,571,France,Female,51,3,54108.32,2,0,1,112191.3
199,57472901,Kidd,834,Germany,Male,41,0,12290.4,4,1,1,28520.01
200,48390052,Huff,756,France,Female,77,6,40674.84,2,1,1,111343.73
201,42368888,Novak,580,Spain,Female,32,8,0.0,3,1,0,63851.34
202,75136884,House,586,Germany,Female,55,2,130481.97,3,1,0,78490.38
203,57470842,Allison,492,France,Female,25,1,0.0,1,1,0,55863.63
204,73193412,Martin,520,Germany,Female,76,2,182169.47,2,1,1,186282.07
205,27146841,Tucker,378,Spain,Male,22,0,81815.68,3,0,0,136667.26
206,44758312,Lewis,385,Germany,Male,65,5,249038.48,1,1,0,52492.06
207,30111282,Morales,362,Spain,Female,43,10,180151.42,1,1,1,129006.27
208,26183052,Brown,509,France,Male,35,10,82989.72,3,1,1,169714.48
209,15924555,Gray,676,Spain,Female,23,6,73053.03,2,0,1,80326.04
210,60603844,Galloway,536,Spain,Male,54,10,0.0,1,0,0,165991.5
211,20699587,Baker,592,Germany,Male,77,10,149736.99,1,0,1,30882.99
212,48483441,Bowers,435,France,Male,65,1,0.0,2,0,1,164556.27
213,77265908,Gibson,633,Spain,Male,30,7,59678.46,2,1,1,108058.85
214,99757961,Henderson,415,Germany,Male,45,5,198719.6,2,1,1,44594.9
215,21789964,Bernard,519,Spain,Male,22,3,41633.64,2,1,1,81428.28
216,86493035,Cowan,394,France,Male,30,4,200958.46,2,1,1,197598.6
217,85075801,Peters,411,France,Male,34,7,133182.52,2,1,0,156711.2
218,63499406,Higgins,790,France,Female,67,2,105345.15,2,0,1,115017.27
219,79115320,Moore,850,France,Female,57,2,176990.79,2,1,0,23032.78
220,70798357,Phillips,483,Germany,Male,62,10,0.0,2,1,0,83562.32
221,80344423,Novak,633,Germany,Male,49,3,149517.04,1,0,1,52610.3
222,51890380,Riley,377,Germany,Male,79,0,139927.03,1,1,0,14200.22
223,98572820,Daniels,457,Spain,Female,46,8,62971.02,4,1,0,108440.88
224,73657428,Adkins,393,France,Male,68,7,0.0,1,0,0,177837.14
225,80149013,Brown,689,France,Male,75,7,185181.64,1,0,1,135119.97
226,73513709,Silva,635,Spain,Female,20,9,0.0,1,1,0,49936.08
227,65953196,Shaw,795,Germany,Female,73,5,0.0,2,0,0,114716.92
228,70116885,Farrell,680,Germany,Female,57,6,196822.82,1,1,0,188646.86
229,60105757,Moore,477,France,Male,51,5,117075.82,1,0,0,144583.01
230,92006717,Yu,697,Germany,Female,57,8,60168.89,1,1,1,137894.78
231,91316524,Miller,822,France,Male,44,2,158389.79,2,1,1,193631.63
232,23622818,Lopez,580,Germany,Female,30,2,109289.45,1,1,0,159774.66
233,56213841,Larson,539,Spain,Male,62,2,183378.73,1,1,1,27324.71
234,94061828,Leonard,574,Germany,Male,50,9,125270.62,1,0,1,69527.02
235,38544282,Young,734,France,Male,23,2,72820.26,3,1,0,193028.14
236,18742392,Wilson,726,Spain,Female,41,8,0.0,1,1,1,97941.08
237,31181637,Zamora,632,France,Male,36,3,10950.39,1,0,1,22327.49
238,44610109,Sanchez,795,France,Male,33,6,0.0,2,0,0,91720.98
239,45976223,Wheeler,470,Spain,Male,57,8,149986.29,4,1,0,139398.65
240,47098119,Harvey,465,France,Female,45,10,29428.9,2,1,1,199509.64
241,67156343,Barnes,810,Spain,Male,50,6,184872.89,4,1,1,64781.06
242,13808102,Silva,582,France,Male,76,8,62590.26,2,1,1,102817.37
243,64037844,Mills,608,Germany,Male,76,2,117922.47,1,1,1,175936.14
244,32863505,Donovan,708,Germany,Male,65,3,55654.7,2,1,0,71053.44
245,68967373,Harris,547,France,Female,58,7,17522.24,1,1,0,21852.31
246,87785230,Moran,805,Germany,Male,30,5,135012.59,2,0,0,189787.18
247,91327849,Allen,760,Spain,Female,60,4,0.0,1,1,0,97688.16
248,89416729,Foster,486,Spain,Female,62,3,187298.44,1,1,0,100556.74
249,13842996,Powers,667,Germany,Male,42,7,205862.16,3,1,1,124240.03
250,24002207,Evans,514,Spain,Female,70,0,0.0,1,1,1,707.32
251,25517414,Stewart,574,France,Female,59,8,231561.76,3,1,0,186226.24
252,20362907,Walton,656,France,Female,53,0,0.0,1,1,0,72290.22
253,25866875,Jones,583,France,Male,80,7,78661.58,1,0,0,79386.37
254,88776742,Ellis,521,Germany,Female,44,3,92281.35,3,0,1,34821.85
255,77518623,Murillo,501,Spain,Female,55,8,136106.83,2,1,1,75630.32
256,71985998,Ferrell,812,Germany,Male,77,10,162618.58,2,1,1,160788.71
257,23275153,Jones,664,Spain,Male,24,4,237471.06,1,0,0,159998.33
258,97372902,Lewis,723,Germany,Female,22,2,184608.74,2,1,0,187159.37
259,85505221,Baker,509,France,Female,60,8,23702.64,2,0,0,80645.89
260,92599542,Mahoney,445,France,Female,62,10,147623.64,2,1,0,141744.3
261,62768394,Ibarra,821,Spain,Male,75,8,198445.57,1,1,0,101447.51
262,89248031,Suarez,582,France,Female,74,3,40533.97,4,1,1,160804.56
263,56366560,Wood,529,Germany,Male,68,10,149103.21,2,0,0,142508.4
264,14608903,Moore,462,France,Female,48,3,86173.32,3,1,1,73580.59
265,39176562,Bass,667,France,Female,40,7,249567.98,2,1,1,67334.77
266,19450365,Warner,846,Germany,Male,59,1,82432.01,2,1,1,50488.49
267,84493794,Carr,791,France,Female,27,8,21087.16,1,1,1,115303.16
268,74940270,Archer,401,Spain,Male,49,5,78174.01,1,1,1,192768.57
269,22324173,Valdez,617,France,Female,60,8,0.0,3,1,0,40013.35
270,50335508,Smith,644,Germany,Male,70,7,0.0,1,0,0,19050.49
271,16564462,Montoya,735,Germany,Male,47,6,0.0,1,1,0,23880.13
272,23817239,Evans,736,Germany,Female,56,0,223705.83,1,1,1,156619.74
273,89982608,Alvarado,462,Spain,Male,48,2,0.0,1,1,1,70020.96
274,99701265,Mcmillan,450,France,Female,35,10,92332.42,3,0,1,44873.37
275,44878091,Taylor,462,France,Male,53,1,186244.01,3,0,1,70568.82
276,99092355,Wilson,789,France,Male,19,4,0.0,1,0,1,129066.16
277,79572312,Rodriguez,430,Spain,Male,31,4,215671.46,1,1,1,109357.42
278,92090657,Tran,536,Spain,Female,30,4,0.0,2,1,0,148717.88
279,31349979,Nelson,462,France,Male,46,3,52161.3,2,1,1,67814.83
280,19412812,Jacobs,351,Germany,Male,29,4,178577.29,4,1,1,90405.71
281,12338299,Robbins,479,France,Male,56,2,248458.76,2,0,0,20393.67
282,69118744,Harris,569,France,Female,19,0,176780.41,1,1,1,14611.73
283,61535561,Walters,403,Germany,Female,49,4,55356.56,2,1,0,92451.05
284,20740503,Baker,692,France,Male,30,8,160840.52,4,1,0,60319.32
285,25383616,Freeman,834,France,Male,63,8,230265.44,2,1,0,122560.11
286,22039284,Whitehead,573,Germany,Female,44,3,56358.4,2,1,1,8600.43
287,15602459,Mathis,574,Spain,Male,66,2,0.0,1,1,0,24353.28
288,51952337,Davis,734,France,Male,58,0,10524.19,2,0,0,173038.16
289,29789633,Henderson,752,Germany,Male,34,1,62821.62,2,1,1,113262.32
290,62362477,Hill,475,Germany,Male,57,7,170015.57,1,1,0,142410.91
291,40803527,Smith,479,France,Male,48,0,62253.98,1,1,1,168394.42
292,23237854,Wise,402,Germany,Male,51,7,17922.86,1,0,1,92766.87
293,44793263,Walsh,521,France,Female,77,6,0.0,1,0,0,152212.08
294,69331538,Green,567,France,Male,41,7,0.0,1,1,1,104917.12
295,83613378,Figueroa,509,France,Male,62,5,157156.46,1,1,1,44549.75
296,85358016,Arnold,547,Spain,Female,52,8,0.0,2,1,0,67531.23
297,89732469,Patterson,765,France,Female,65,2,219404.79,1,0,0,98070.09
298,10419794,Smith,596,France,Female,23,9,39655.96,1,0,0,63377.11
299,40324040,Jones,673,France,Female,36,3,125952.31,3,1,0,67105.54
300,63022790,Ware,788,France,Male,47,5,50742.21,2,1,1,67478.57
301,38658541,Mckee,552,Germany,Female,24,7,132632.98,2,1,0,24568.0
302,57987428,Gardner,533,France,Male,27,4,30223.45,1,1,0,16928.52
303,32825905,Davenport,472,Spain,Female,58,2,62104.78,2,1,0,9299.21
304,76724926,Aguilar,750,Spain,Female,49,5,39685.8,1,0,1,22191.25
305,14652328,Hernandez,604,Germany,Female,51,3,127417.33,2,0,1,68741.42
306,44074868,Anderson,643,France,Male,80,8,138766.15,1,1,1,118774.36
307,21043587,Parker,629,France,Female,45,2,52819.86,2,1,1,37629.39
308,13796568,Nolan,674,France,Female,77,3,0.0,1,0,1,177601.77
309,24968453,Flynn,721,Germany,Female,32,6,110402.99,2,1,0,161676.49
310,13036753,Valencia,447,France,Male,47,6,0.0,2,1,1,104105.42
311,20166247,Nolan,547,Germany,Male,54,3,0.0,1,0,1,144841.97
312,75688770,Clark,819,France,Female,46,5,181691.44,1,0,1,73265.7
313,41081665,Wright,744,France,Male,39,2,111948.0,2,0,0,7355.56
314,10700662,Garcia,589,France,Female,21,5,19974.36,4,1,0,180866.57
315,34334184,Deleon,493,France,Male,37,1,0.0,2,0,1,25558.7
316,44217831,Henson,446,Spain,Female,49,7,59568.26,1,1,0,189587.47
317,14704250,Russell,550,France,Male,53,1,16774.9,1,1,1,114376.52
318,55467713,Oliver,473,Spain,Female,67,10,77755.32,3,0,0,61112.61
319,98050593,Moore,536,Germany,Male,21,6,10498.36,2,0,0,99104.92
320,74835866,Spears,675,Spain,Male,44,8,63540.72,2,0,1,100325.96
321,96562933,Hancock,813,France,Female,34,0,193730.41,3,1,0,4657.42
322,44144678,Cherry,698,Spain,Female,29,7,84926.05,3,0,1,71091.97
323,58261093,Cochran,608,France,Male,39,6,216930.74,2,0,1,147973.16
324,56755875,Keith,497,Germany,Female,34,5,245152.85,1,1,1,102013.84
325,45381778,Johnson,601,France,Female,27,5,41454.07,1,0,0,48846.02
326,39343834,Doyle,792,France,Female,71,5,29603.14,2,1,0,67021.97
327,33019219,Cook,769,Germany,Female,18,8,70433.62,1,1,1,172610.88
328,60648980,Galvan,752,Germany,Male,39,1,0.0,1,1,1,105109.93
329,92085782,Pham,695,France,Female,43,0,212802.94,1,1,0,105670.42
330,74868061,Shields,800,France,Male,73,5,209928.22,1,0,1,192293.49
331,47971160,Cochran,496,Germany,Male,76,9,179669.52,2,1,0,64176.28
332,89111902,Adams,497,France,Female,35,10,162463.6,2,1,0,95908.23
333,12655687,Cobb,701,France,Female,67,7,73627.18,1,1,0,162342.72
334,41533593,Rodriguez,548,Spain,Male,31,2,62392.75,1,0,1,151782.45
335,31697563,Brennan,657,Spain,Female,64,9,58515.86,3,1,1,53159.88
336,95184063,Garrison,838,Spain,Female,46,0,29360.74,1,0,0,30218.21
337,43822019,Walker,766,Spain,Male,29,8,0.0,2,1,1,140140.92
338,31888222,Velasquez,773,France,Male,53,0,39139.58,3,1,1,51531.24
339,47355599,Stevens,477,Spain,Male,76,2,102807.15,1,0,0,184535.17
340,27969765,Torres,388,France,Female,52,7,0.0,2,1,0,25849.54
341,31170351,Pope,687,France,Female,69,2,61128.48,3,1,1,63663.04
342,68690057,Perez,709,Spain,Male,78,3,0.0,1,1,0,10957.45
343,73088364,Johnson,478,France,Male,29,7,76784.24,2,1,1,140661.06
344,68970534,Lee,616,Germany,Female,24,0,115960.94,1,1,0,178252.53
345,85646051,Murphy,825,France,Female,46,5,0.0,1,1,0,127174.91
346,90035705,Lin,790,France,Female,28,0,246592.88,2,0,1,187550.6
347,13403154,Rasmussen,822,Germany,Male,50,0,210987.9,3,1,1,25700.8
348,80813051,Ramirez,783,France,Female,23,7,76005.95,2,0,1,17546.79
349,32465042,May,500,France,Female,64,10,0.0,1,1,1,167682.55
350,98981835,Ross,764,France,Male,32,3,10304.34,1,1,1,171102.24
351,48662796,Zavala,827,France,Female,49,0,0.0,2,1,0,166207.91
352,79053976,Herrera,647,France,Male,68,9,180678.42,1,1,0,159792.98
353,36440792,Crosby,448,Spain,Female,28,6,110389.87,2,1,1,72445.67
354,90213595,Wilson,612,France,Male,75,4,131287.66,2,1,0,43492.42
355,12339326,Waller,601,Spain,Male,40,4,12532.39,2,1,1,185760.8
356,76098036,White,493,France,Male,43,0,192234.61,2,1,0,61400.04
357,17556484,Estes,695,France,Female,51,9,71022.2,1,1,0,79681.54
358,76242666,Baker,461,France,Female,63,10,133548.22,1,1,1,139911.79
359,90303214,Rodriguez,849,France,Female,51,5,51750.61,1,0,1,58671.22
360,37352340,Hamilton,409,France,Female,46,8,0.0,2,1,1,163826.04
